Fund Custody Code,External Fund Identifier,Fund Name,Trade Date,Value Date,Transaction ID,Reversal Flag,Buy Ccy,Purchased Amount,Sell Ccy,Sold Amount,FX Rate,Broker BIC Code,Broker Name,Fund Manager BIC Code,NDF Flag,
19162,DB3015Z8714486,GLOBAL HIGH YIELD 12,29042016,22072016,019162HT00032000,N,USD,1586519.4,MXN,27547529.6,17.3635,CITIGB2L,CITIBANK NA,PRUIUS3F,N,
18001,DB6215Z9163418,EQUILIBRIUM 2,2052016,2052016,018001CS00152000,N,USD,9634.65,EUR,8401.5,1.146777,FETALULL,RBC INVESTOR SERVICES BANK S.A.,,N,master is sell
14018,DB5356Z5970552,MEDIO PIMCO INFLATION STRAT SLTN,2052016,2062016,014018HT01590000,N,EUR,1231167.06,USD,1415000,1.149316,MRMDUS33,HSBC BANK USA N.A.,,N,master is buy
10959,DB8825Z5987475,CHALLENGE PROVIDENT FUND 2,29042016,2052016,010959CX00265000,N,USD,500000,EUR,437062.94,1.144,FETALULL,RBC INVESTOR SERVICES BANK S.A.,,N,
14018,DB5356Z5970552,MEDIO PIMCO INFLATION STRAT SLTN,2052016,3052016,014018HS00433000,N,EUR,546246.15,DKK,4065000,7.4417,CITIUS33,CITIBANK NA,,N,
14018,DB5356Z5970552,MEDIO PIMCO INFLATION STRAT SLTN,2052016,2062016,014018HT01591000,N,DKK,4065000,EUR,546244.1,7.441728,CITIUS33,CITIBANK NA,,N,
16415,DB3787Z5934375,CHALLENGE FINANCIAL EQUITY FUND 4,29042016,4052016,016415CS02926000,N,EUR,19860.99,NOK,183708,9.249689,FETALULL,RBC INVESTOR SERVICES BANK S.A.,,N,
1506,DB3789Z9173803,CHALLENGE CYCLICAL FD,29042016,4052016,001506HSA2366000,N,USD,629217.05,EUR,550000,1.144031,MIDLGB22,HSBC BANK PLC,BGIAGB2L,N,
10960,DB8826Z5987475,CHALLENGE PROVIDENT FUND 3,29042016,2052016,010960CX00164000,N,USD,100000,EUR,87412.59,1.144,FETALULL,RBC INVESTOR SERVICES BANK S.A.,,N,
10960,DB8826Z5987475,CHALLENGE PROVIDENT FUND 3,29042016,3052016,010960CX00163000,N,GBP,50000,EUR,64020.49,0.781,FETALULL,RBC INVESTOR SERVICES BANK S.A.,,N,
14018,DB5356Z5970552,MEDIO PIMCO INFLATION STRAT SLTN,2052016,3052016,014018HS00432000,N,USD,1415000,EUR,1232227.94,1.148327,MRMDUS33,HSBC BANK USA N.A.,,N,
