Consolidated Fund Code;Sub-fund Identifier;External Fund Identifier;Fund Name;Trade Date;Value Date;Maturity Date;Fusion Ref.;Trade Currency;Quantity;Currency Payable Leg;Nominal Payable Leg;Currency Receivable Leg;Nominal Receivable Leg;Upfront Amount Flag;Cost Price - Local CCY;Cost Price - Fund CCY;GTI Code;GTI Label;RBC Contract Number;Transaction Status Number;BIC Code Broker;Premium;Gross Amount;Net Amount;Fees
DB8810;DB2376;DB2376Z8719429;CHALLENGE SOLIDITY & RETURN;18/08/2016;18/08/2016;31/12/2099;;USD;4915;;;;;;1998.8070;1765.0289;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;9824136.4050;9824136.4000;9824136.4000;0.0000
DB8810;DB2376;DB2376Z8719429;CHALLENGE SOLIDITY & RETURN;18/08/2016;18/08/2016;31/12/2099;;USD;-2531;;;;;;4147.6360;3662.5334;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;10497666.7160;-10497666.7200;-10497666.7200;0.0000
DB8810;DB2376;DB2376Z8719429;CHALLENGE SOLIDITY & RETURN;24/08/2016;20/06/2016;21/06/2021;;;;EUR;25000000.0000;EUR;25000000.0000;R;2275068.6300;;757;CREDIT DEFAULT SWAP;IR - 11;20;MSLNGB2X;2275068.6300;25000000.0000;25000000.0000;0.0000
DB3012;DB3015;DB3015Z8719429;GLOBAL HIGH YIELD;24/08/2016;26/08/2016;22/12/2016;;;;USD;28000000.0000;EUR;28000000.0000;R;0.0000;;758;TOTAL RETURN SWAP;IR - 329;20;JPMSGB2L;0.0000;28000000.0000;28000000.0000;0.0000
DB3012;DB3015;DB3015Z8719429;GLOBAL HIGH YIELD;15/06/2016;17/06/2016;22/12/2016;;;;USD;103000000.0000;EUR;103000000.0000;R;0.0000;;758;TOTAL RETURN SWAP;IR - 327;30;JPMSGB2L;0.0000;103000000.0000;103000000.0000;0.0000
DB3012;DB3015;DB3015Z8719429;GLOBAL HIGH YIELD;24/08/2016;26/08/2016;22/12/2016;;;;USD;28000000.0000;EUR;28000000.0000;R;0.0000;;758;TOTAL RETURN SWAP;IR - 329;30;JPMSGB2L;0.0000;28000000.0000;28000000.0000;0.0000
DB3012;DB3015;DB3015Z8719429;GLOBAL HIGH YIELD;15/06/2016;17/06/2016;22/12/2016;;;;USD;103000000.0000;EUR;103000000.0000;R;0.0000;;758;TOTAL RETURN SWAP;IR - 331;20;JPMSGB2L;0.0000;103000000.0000;103000000.0000;0.0000
DB3012;DB3015;DB3015Z8719429;GLOBAL HIGH YIELD;24/08/2016;26/08/2016;22/12/2016;;;;USD;28000000.0000;EUR;28000000.0000;R;0.0000;;758;TOTAL RETURN SWAP;IR - 332;20;JPMSGB2L;0.0000;28000000.0000;28000000.0000;0.0000
DB8810;DB3784;DB3784Z8719429;Challenge Counter Cyclical;18/08/2016;18/08/2016;31/12/2099;;USD;3914;;;;;;1998.8070;1765.0289;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;7823330.5980;7823330.6000;7823330.6000;0.0000
DB8810;DB3784;DB3784Z8719429;Challenge Counter Cyclical;18/08/2016;18/08/2016;31/12/2099;;USD;-1955;;;;;;4147.6360;3662.5334;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;8108628.3800;-8108628.3800;-8108628.3800;0.0000
DB8810;DB3785;DB3785Z8719429;CHALLENGE TECHNOLOGY;18/08/2016;18/08/2016;31/12/2099;;USD;2160;;;;;;1998.8070;1765.0289;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;4317423.1200;4317423.1200;4317423.1200;0.0000
DB8810;DB3785;DB3785Z8719429;CHALLENGE TECHNOLOGY;18/08/2016;18/08/2016;31/12/2099;;USD;-1079;;;;;;4147.6360;3662.5334;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;4475299.2440;-4475299.2400;-4475299.2400;0.0000
DB8810;DB3787;DB3787Z8719429;CHALLENGE FINANCIAL;18/08/2016;18/08/2016;31/12/2099;;USD;2763;;;;;;1998.8070;1765.0289;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;5522703.7410;5522703.7400;5522703.7400;0.0000
DB8810;DB3787;DB3787Z8719429;CHALLENGE FINANCIAL;18/08/2016;18/08/2016;31/12/2099;;USD;-1380;;;;;;4147.6360;3662.5334;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;5723737.6800;-5723737.6800;-5723737.6800;0.0000
DB8810;DB3789;DB3789Z8719429;CHALLENGE CYCLICAL;18/08/2016;18/08/2016;31/12/2099;;USD;3474;;;;;;1998.8070;1765.0289;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;6943855.5180;6943855.5200;6943855.5200;0.0000
DB8810;DB3789;DB3789Z8719429;CHALLENGE CYCLICAL;18/08/2016;18/08/2016;31/12/2099;;USD;-1735;;;;;;4147.6360;3662.5334;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;7196148.4600;-7196148.4600;-7196148.4600;0.0000
DB8810;DB4223;DB4223Z8719429;CHALLENGE INTERNATIONAL EQUITY;18/08/2016;18/08/2016;31/12/2099;;USD;5774;;;;;;1998.8070;1765.0289;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;11541111.6180;11541111.6200;11541111.6200;0.0000
DB8810;DB4223;DB4223Z8719429;CHALLENGE INTERNATIONAL EQUITY;18/08/2016;18/08/2016;31/12/2099;;USD;-2884;;;;;;4147.6360;3662.5334;381;CFD -  EQUITIES;FU - ;20;BNPAGB22;11961782.2240;-11961782.2200;-11961782.2200;0.0000
