Legal Entity;COS Id;Entity Code;Share Class;Base Currency;Client Name;Basic Contract # /Account #;Fixed Currency;Counter Currency;Direction;Instrument Type;Trade Date;Maturity Date;Fixed Amount;Client Spot Rate;Client All-In Points;Client All-In Rate;Contra Amount;Status;Mandated Execution Time;External Fund Identifier;Fees Currency;Fees In Amount
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;GBP;EUR;Buy;Forward;24/05/2016;31/05/2016;9437567.79;0.76395;0;0.76395;12353645.9;Executed;17:00;DB5434Z8730528;EUR;0
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;GBP;EUR;Sell;Forward;24/05/2016;30/06/2016;9437567.79;0.76395;6.2;0.764665;12342094.63;Executed;17:00;DB5434Z8730528;EUR;1536.03
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;USD;EUR;Buy;Forward;24/05/2016;31/05/2016;91547162.7;1.11605;0;1.11605;82027832.71;Executed;17:00;DB5434Z8730528;EUR;0
Bank;2.016E+13;DB5434;LHC;EUR;MIFL;20022793;USD;EUR;Sell;Forward;24/05/2016;30/06/2016;91547162.7;1.11605;10.34;1.117224;81941636.32;Executed;17:00;DB5434Z8730528;EUR;10288.48
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;GBP;EUR;Buy;Forward;24/05/2016;31/05/2016;33844756.12;0.76395;0;0.76395;44302318.38;Executed;17:00;DB5434Z8894216;EUR;0
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;GBP;EUR;Sell;Forward;24/05/2016;30/06/2016;33844756.12;0.76395;6.2;0.764665;44260893.49;Executed;17:00;DB5434Z8894216;EUR;5508.47
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;USD;EUR;Buy;Forward;24/05/2016;31/05/2016;331276090.8;1.11605;0;1.11605;296829076.5;Executed;17:00;DB5434Z8894216;EUR;0
Bank;2.016E+13;DB5434;LHD;EUR;MIFL;20022750;USD;EUR;Sell;Forward;24/05/2016;30/06/2016;331276090.8;1.11605;10.34;1.117224;296517162.9;Executed;17:00;DB5434Z8894216;EUR;37230.28
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;GBP;EUR;Buy;Forward;24/05/2016;31/05/2016;7759469.48;0.76395;0;0.76395;10157038.39;Executed;17:00;DB5434Z8730529;EUR;0
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;GBP;EUR;Sell;Forward;24/05/2016;30/06/2016;7759469.48;0.76395;6.2;0.764665;10147541.05;Executed;17:00;DB5434Z8730529;EUR;1262.91
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;USD;EUR;Buy;Forward;24/05/2016;31/05/2016;77321032.64;1.11605;0;1.11605;69280975.44;Executed;17:00;DB5434Z8730529;EUR;0
Bank;2.016E+13;DB5434;SHC;EUR;MIFL;20022794;USD;EUR;Sell;Forward;24/05/2016;30/06/2016;77321032.64;1.11605;10.34;1.117224;69208173.69;Executed;17:00;DB5434Z8730529;EUR;8689.68
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;GBP;EUR;Buy;Forward;24/05/2016;31/05/2016;63616058.82;0.76395;0;0.76395;83272542.47;Executed;17:00;DB5434Z8730525;EUR;0
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;GBP;EUR;Sell;Forward;24/05/2016;30/06/2016;63616058.82;0.76395;6.2;0.764665;83194678.48;Executed;17:00;DB5434Z8730525;EUR;10353.96
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;USD;EUR;Buy;Forward;24/05/2016;31/05/2016;644714238.3;1.11605;0;1.11605;577675048.9;Executed;17:00;DB5434Z8730525;EUR;0
Bank;2.016E+13;DB5434;SHD;EUR;MIFL;20022751;USD;EUR;Sell;Forward;24/05/2016;30/06/2016;644714238.3;1.11605;10.34;1.117224;577068017.1;Executed;17:00;DB5434Z8730525;EUR;72455.86
